mod_variants,Ford Figo Ambiente petrol,Ford Figo Titanium petrol,Ford Figo Titanium AT petrol,Ford Figo Titanium Diesel,Ford Ecosport ambiente petrol,Ford Ecosport ambiente diesel,Ford Ecosport trend petrol,Ford Ecosport trend diesel,Ford Ecosport titanium petrol,Ford Ecosport titanium diesel,Honda City V MT Petrol,Honda City V CVT Petrol,Honda City VX MT Petrol,Honda City V MT Diesel,Honda City VX MT Diesel,Honda City ZX CVT Petrol,Honda City VX CVT Petrol,Honda Jazz VX MT Petrol,Honda Jazz ZX MT Petrol,Honda Jazz VX CVT Petrol,Honda Jazz ZX CVT Petrol,Hyundai grand i10 NIOS Magna MT Petrol,Hyundai grand i10 NIOS Magna AMT Petrol,Hyundai grand i10 NIOS Sportz MT Petrol,Hyundai grand i10 NIOS Sportz MT Diesel,Hyundai grand i10 NIOS Asta CRDi,Hyundai verna SX MT Petrol,Hyundai verna SX MT Diesel,Hyundai verna SX AT Diesel,Hyundai verna Splus MT Petrol,Hyundai verna SPlus MT Diesel,Mahindra Bolero Neo N8 MT Diesel,Mahindra Bolero Neo N10 MT Diesel,Mahindra Bolero Neo N4 MT Diesel,Mahindra XUV700 MX MT Petrol,Mahindra XUV700 MX MT Diesel,Mahindra XUV700 AX5 Automatic Petrol,Mahindra XUV700 AX5 Automatic Diesel,Mahindra XUV700 AX7 Automatic Petrol,Mahindra XUV700 AX7 Automatic Diesel,Maruti Suzuki Baleno Sigma MT Petrol,Maruti Suzuki Baleno Delta MT Petrol,Maruti Suzuki Baleno Zeta MT Petrol,Maruti Suzuki Baleno Zeta Automatic Petrol,Maruti Suzuki Baleno Delta Automatic Petrol,Maruti Suzuki Baleno Alpha MT Petrol,Maruti Suzuki Dzire LXI MT Petrol,Maruti Suzuki Dzire VXI MT Petrol,Tata Nexon XZ Petrol,Tata Nexon XM Petrol,Tata Nexon XMA AMT Petrol,Tata Nexon XM MT Diesel,Tata Nexon XMA AMT Diesel,Tata Tiago XT MT Petrol,Tata Tiago XZ MT Petrol,Tata Tiago XTA Automatic Petrol,Tata Tiago XZPlus MT Petrol,Toyota Innova 2.5 VX MT Diesel,Toyota Innova 2.5 ZX MT Diesel,Toyota Innova 2.5 GX MT Diesel,Toyota Urban Cruiser Mid MT Petrol,Toyota Urban Cruiser High MT Petrol,Toyota Urban Cruiser Premium MT Petrol,Toyota Urban Cruiser Premium Automatic Petrol,Toyota Urban Cruiser High Automatic Petrol
int_inside_door_handles,,,,,,,,,,,Chrome finish,Chrome finish,Chrome finish,Chrome finish,Chrome finish,Chrome finish,Chrome finish,"Silver, Glossy Silver","Silver, Glossy Silver","Silver, Glossy Silver","Silver, Glossy Silver",Metal finish,Metal finish,Metal finish,Metal finish,Metal finish,Metal finish,Metal finish,Metal finish,Metal finish,Metal finish,Metallic finish,Metallic finish,Metallic finish,"Smart, Metallic finish","Smart, Metallic finish","Smart, Metallic finish","Smart, Metallic finish","Smart, Metallic finish","Smart, Metallic finish",Metal Finish,Metal Finish,Metal Finish,Metal Finish,Metal Finish,Metal Finish,Urbane Satin Chrome Accent,Urbane Satin Chrome Accent,Metallic finish,Metallic finish,Metallic finish,Metallic finish,Metallic finish,Collapsible Grab,Collapsible Grab,Collapsible Grab,Collapsible Grab,Chrome finish,Chrome finish,Chrome finish,Chrome finish,Chrome finish,Chrome finish,Chrome finish,Chrome finish
int_map_pockets,Front Passenger Seat,Front Passenger Seat,Front Passenger Seat,Front Passenger Seat,Front Passenger Seat,Front Passenger Seat,Front Passenger Seat,Front Passenger Seat,Front Passenger Seat,Front Passenger Seat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
int_pass_seat_pockets,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
int_interior_lighting,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
int_armrests,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,in second row,in second row,in second row,in second row,in second row,in second row,in second row,in second row,in second row,With storage,With storage,With storage,With storage,With storage,With storage,With storage,With storage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
int_foldable_seat,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding in second and third row,Bench Folding in second and third row,Bench Folding in second row,Bench Folding in second and third row,Bench Folding in second and third row,Bench Folding in second and third row,Bench Folding in second and third row,Bench Folding in second and third row,Bench Folding in second and third row,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding,Bench Folding
int_gear_lever,,,,,,,,,,,Chrome and leather,Chrome and leather,Chrome and leather,Chrome and leather,Chrome and leather,Chrome and leather,Chrome and leather,Leather Wrapped,Leather Wrapped,Leather Wrapped,Leather Wrapped,Chrome finish,Chrome finish,Chrome finish,Chrome finish,Chrome finish,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,leather wrapped,leather wrapped,leather wrapped,leather wrapped,leather wrapped,leather wrapped,leather wrapped,leather wrapped,leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Leather wrapped,Urbane Satin Chrome Accent,Urbane Satin Chrome Accent,Chrome and Metallic,Chrome and Metallic,Leather wrapped,Chrome and Metallic,Leather wrapped,Chrome Insert,Chrome Insert,Chrome Insert,Chrome Insert,Chrome Gearshift Knob Ornament,Chrome Gearshift Knob Ornament,Chrome Gearshift Knob Ornament,Chrome Gearshift Knob Ornament,Chrome Gearshift Knob Ornament,Chrome Gearshift Knob Ornament,Chrome Gearshift Knob Ornament,Chrome Gearshift Knob Ornament
int_irvm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Auto Dimming,Auto Dimming,Auto Dimming,Auto Dimming,Auto Dimming,Auto Dimming,Auto Dimming,Day by Night,Day by Night,Day by Night,Day by Night,Yes,Yes,Yes,Yes,Yes,Electro Chromic,Electro Chromic,Electro Chromic,Day and Night,Day and Night,Day and Night,Day and Night,Day and Night,Day and Night,Day and Night,Day and Night,Day and Night,Day and Night,Day and Night,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electro chromic,Electro chromic,Electro chromic,Electro chromic,Electro chromic
int_others,,,,,Cup Holders in the Front,Cup Holders in the Front,Cup Holders in the Front,Cup Holders in the Front,Cup Holders in the Front,Cup Holders in the Front,,,,,,,,,,,,,,,,,,,,,,,,,"Smart Door handle,Arror Head LED Tail lamps,Air Dam","Smart Door handle,Arror Head LED Tail lamps,Air Dam","Smart Door handle,Arror Head LED Tail lamps,Air Dam","Smart Door handle,Arror Head LED Tail lamps,Air Dam","Smart Door handle,Arror Head LED Tail lamps,Air Dam","Smart Door handle,Arror Head LED Tail lamps,Air Dam","Luggage Room Illumination, Colored TFT with Multi Information Display, Metal Finish Tipped Parking Brake","Luggage Room Illumination, Colored TFT with Multi Information Display, Metal Finish Tipped Parking Brake","Luggage Room Illumination, Colored TFT with Multi Information Display, Metal Finish Tipped Parking Brake","Luggage Room Illumination, Colored TFT with Multi Information Display, Metal Finish Tipped Parking Brake","Luggage Room Illumination, Colored TFT with Multi Information Display, Metal Finish Tipped Parking Brake","Luggage Room Illumination, Colored TFT with Multi Information Display, Metal Finish Tipped Parking Brake",,,Digital Instrument Cluster,Digital Instrument Cluster,Digital Instrument Cluster,Digital Instrument Cluster,Digital Instrument Cluster,"Premium Piano Black Finish Around Infotainment System, Digital Instrument Cluster, Bottle and Cup Holder in Front Console","Premium Piano Black Finish Around Infotainment System, Digital Instrument Cluster, Bottle and Cup Holder in Front Console","Premium Piano Black Finish Around Infotainment System, Digital Instrument Cluster, Bottle and Cup Holder in Front Console","Premium Piano Black Finish Around Infotainment System, Digital Instrument Cluster, Bottle and Cup Holder in Front Console",,,,"Chrome Tip Parking Brake Lever, Upper Hook in Luggage Room with Flat Board Floor, Amber Switch Illumination, Meter Illumination, Dark Brown Fabric Door Trim, Retractable Assist Grips with Damper with Rear Coat Hook, Door Courtesy Lamp, Centre and Side AC Louver Knob Chrome, Grab Handle on All Doors, Chrome Gearshift Knob Ornament, Front Gear Console with two Cup Holder, Rain Pattern Premium Dark Brown Fabric Seats, Black Inside Door Ornament, Silver IP Ornament, Silver Centre Louver Audio Ring, Black Side Louver","Chrome Tip Parking Brake Lever, Upper Hook in Luggage Room with Flat Board Floor, Amber Switch Illumination Colour, Meter Illumination Colour, Dark Brown Fabric Door Trim, Retractable Assist Grips with Damper with Rear Coat Hook, Door Courtesy Lamp, Centre and Side AC Louver Knob Chrome, Grab Handle on All Doors, Chrome Gearshift Knob Ornament, Front Gear Console with Cup Holder, Chrome Inside Door Handles, Luggage Room Lamp with Accessory Socket, Luggage Parcel Shelf Dual Side Operable with Shelf Strings, Piano Black IP Centre Garnish, Premium Silver Inside Door Ornament, Premium Silver IP Ornament, Piano Black Centre Louver Audio Ring, Piano Black Side Louver, Chrome Accents in Steering Wheel","Chrome Tip Parking Brake Lever, Upper Hook in Luggage Room with Flat Board Floor, Amber Switch Illumination Colour, Meter Illumination Colour, Dark Brown Fabric Door Trim, Retractable Assist Grips with Damper with Rear Coat Hook, Door Courtesy Lamp, Centre and Side AC Louver Knob Chrome, Grab Handle on All Doors, Chrome Gearshift Knob Ornament, Front Gear Console with Cup Holder, Chrome Inside Door Handles, Luggage Room Lamp with Accessory Socket, Luggage Parcel Shelf Dual Side Operable with Shelf Strings, Piano Black IP Centre Garnish, Premium Silver Inside Door Ornament, Premium Silver IP Ornament, Piano Black Centre Louver Audio Ring, Piano Black Side Louver, Chrome Accents in Steering Wheel","Chrome Tip Parking Brake Lever, Upper Hook in Luggage Room with Flat Board Floor, Amber Switch Illumination Colour, Meter Illumination Colour, Dark Brown Fabric Door Trim, Retractable Assist Grips with Damper with Rear Coat Hook, Door Courtesy Lamp, Centre and Side AC Louver Knob Chrome, Grab Handle on All Doors, Chrome Gearshift Knob Ornament, Front Gear Console with Cup Holder, Chrome Inside Door Handles, Luggage Room Lamp with Accessory Socket, Luggage Parcel Shelf Dual Side Operable with Shelf Strings, Piano Black IP Centre Garnish, Premium Silver Inside Door Ornament, Premium Silver IP Ornament, Piano Black Centre Louver Audio Ring, Piano Black Side Louver, Chrome Accents in Steering Wheel, Advanced Lithium Ion Battery with ISG, Torque Assist Function, Idle Start Stop Function, Brake Energy Regeneration Function","Chrome Tip Parking Brake Lever, Upper Hook in Luggage Room with Flat Board Floor, Amber Switch Illumination Colour, Meter Illumination Colour, Dark Brown Fabric Door Trim, Retractable Assist Grips with Damper with Rear Coat Hook, Door Courtesy Lamp, Centre and Side AC Louver Knob Chrome, Grab Handle on All Doors, Chrome Gearshift Knob Ornament, Front Gear Console with Cup Holder, Chrome Inside Door Handles, Luggage Room Lamp with Accessory Socket, Luggage Parcel Shelf Dual Side Operable with Shelf Strings, Piano Black IP Centre Garnish, Premium Silver Inside Door Ornament, Premium Silver IP Ornament, Piano Black Centre Louver Audio Ring, Piano Black Side Louver, Chrome Accents in Steering Wheel, Advanced Lithium Ion Battery with ISG, Torque Assist Function, Idle Start Stop Function, Brake Energy Regeneration Function"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saf_airbags,two airbags front,two airbags front,two airbags front,two airbags front,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,four airbags,four airbags,four airbags,four airbags,four airbags,four airbags,four airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,four airbags,four airbags,four airbags,four airbags,four airbags,two airbags,two airbags,two airbags,seven airbags,seven airbags,seven airbags,seven airbags,seven airbags,seven airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,two airbags,seven airbags,seven airbags,seven airbags,two airbags,two airbags,two airbags,two airbags,two airbags
saf_antilock_braking,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_engine_immobilizer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_seat_belts,"height adjustable, three point","height adjustable, three point","height adjustable, three point","height adjustable, three point","height adjustable, three point","height adjustable, three point","height adjustable, three point","height adjustable, three point","height adjustable, three point","height adjustable, three point",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,Yes,Yes,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable,height adjustable
saf_seat_belt_reminder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_seat_belt_retractor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_rear_parking_aid,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_perimeter_alarm,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
saf_electronic_stability,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_traction_control,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_hill_launch_assist,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_crash_unlocking,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_door_locks,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_door_ajar_warning,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_horn_type,Single Horn,Single Horn,Single Horn,Single Horn,Single Horn,Single Horn,Single Horn,Single Horn,Single Horn,Single Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn,Dual Horn
saf_burglar_alarm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_child_seat,No,No,No,No,No,No,No,No,No,No,ISOFIX Child Seat Mounts,ISOFIX Child Seat Mounts,ISOFIX Child Seat Mounts,ISOFIX Child Seat Mounts,ISOFIX Child Seat Mounts,ISOFIX Child Seat Mounts,ISOFIX Child Seat Mounts,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,ISOFIX Child Seat,No,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX Child Seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat,ISOFIX child seat
saf_high_speed_alert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
saf_others,"Side Impact Beams, Front Impact Beams, Crash Sensor, Engine Check Warning, ABS with EBD, ESP, TCS, HLA","Side Impact Beams, Front Impact Beams, Crash Sensor, Engine Check Warning, ABS with EBD, ESP, TCS, HLA","Side Impact Beams, Front Impact Beams, Crash Sensor, Engine Check Warning, ABS with EBD, ESP, TCS, HLA","Side Impact Beams, Front Impact Beams, Crash Sensor, Engine Check Warning, ABS with EBD, ESP, TCS, HLA","Driving Experience Control Eco, Dark Interior enviroment theme,Black inner door handles,Theatre dimming cabin lights","Speed sensing auto door locks, Cruise control with adjustable speed limiter device","Speed sensing auto door locks, Cruise control with adjustable speed limiter device","Speed sensing auto door locks, Cruise control with adjustable speed limiter device","Speed sensing auto door locks,  Cruise control with adjustable speed limiter device","Speed sensing auto door locks,  Cruise control with adjustable speed limiter device",,,,,,,,"Advanced Compatibility Engineering Body Structure, Multi View Rear Camera with Guidelines, Normal, Wide and Top Down View, LED High Mount Stop lamp, Key Off Reminder","Advanced Compatibility Engineering Body Structure, Multi View Rear Camera with Guidelines, Normal, Wide and Top Down View,  LED High Mount Stop lamp, Key Off Reminder","Advanced Compatibility Engineering Body Structure, Multi View Rear Camera with Guidelines, Normal, Wide and Top Down View, LED High Mount Stop lamp, Key Off Reminder","Advanced Compatibility Engineering Body Structure, Multi View Rear Camera with Guidelines, Normal, Wide and Top Down View, LED High Mount Stop lamp, Key Off Reminder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnv_remote_keyless_entry,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
cnv_front_dome_lamp,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_welcome_lamp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
cnv_tilt_steering,Yes,Yes,Yes,Yes,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Tilt and Telescopic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
